fecha,municipio,entidad_federativa,porc_pob,pibe,pib_mun
2004-03-31,Iztapalapa,CDMX,0.2048287736,2226949.7,456143.37591988797
2004-06-30,Iztapalapa,CDMX,0.2048287736,2234735.2,457738.07033675077
2004-09-30,Iztapalapa,CDMX,0.2048287736,2244809.2,459801.5154019972
2004-12-31,Iztapalapa,CDMX,0.2048287736,2260342.1,462983.10025944863
2005-03-31,Iztapalapa,CDMX,0.2048287736,2258091.6,462522.1331044618
2005-06-30,Iztapalapa,CDMX,0.2048287736,2275031.1,465991.830114859
2005-09-30,Iztapalapa,CDMX,0.2048287736,2306940.8,472527.8548318029
2005-12-31,Iztapalapa,CDMX,0.2048287736,2264522.1,463839.2845330966
2006-03-31,Iztapalapa,CDMX,0.2048287736,2374722.9,486411.57924683543
2006-06-30,Iztapalapa,CDMX,0.2048287736,2375920.8,486656.9436347309
2006-09-30,Iztapalapa,CDMX,0.2048287736,2418787.1,495437.1952925006
2006-12-31,Iztapalapa,CDMX,0.2048287736,2328557.9,476955.65891359147
2007-03-31,Iztapalapa,CDMX,0.2048287736,2408565.9,493343.5994317802
2007-06-30,Iztapalapa,CDMX,0.2048287736,2384221.0,488357.06342136563
2007-09-30,Iztapalapa,CDMX,0.2048287736,2445567.4,500922.5712981407
2007-12-31,Iztapalapa,CDMX,0.2048287736,2367585.4,484949.61387526547
2008-03-31,Iztapalapa,CDMX,0.2048287736,2450391.2,501910.6243362324
2008-06-30,Iztapalapa,CDMX,0.2048287736,2395356.9,490638.01616129786
2008-09-30,Iztapalapa,CDMX,0.2048287736,2531001.6,518421.9537076378
2008-12-31,Iztapalapa,CDMX,0.2048287736,2452219.9,502285.19471451466
2009-03-31,Iztapalapa,CDMX,0.2048287736,2362516.4,483911.33682188706
2009-06-30,Iztapalapa,CDMX,0.2048287736,2166510.9,443763.77063803223
2009-09-30,Iztapalapa,CDMX,0.2048287736,2389483.6,489434.995325313
2009-12-31,Iztapalapa,CDMX,0.2048287736,2367831.3,484999.98127069365
2010-03-31,Iztapalapa,CDMX,0.2048287736,2446910.4,501197.65634108544
2010-06-30,Iztapalapa,CDMX,0.2048287736,2287425.1,468530.4779348574
2010-09-30,Iztapalapa,CDMX,0.2048287736,2445278.9,500863.47819695703
2010-12-31,Iztapalapa,CDMX,0.2048287736,2425671.8,496847.37995010446
2011-03-31,Iztapalapa,CDMX,0.2048287736,2533806.9,518996.55986621784
2011-06-30,Iztapalapa,CDMX,0.2048287736,2332450.0,477752.87298332003
2011-09-30,Iztapalapa,CDMX,0.2048287736,2569761.4,526361.076006619
2011-12-31,Iztapalapa,CDMX,0.2048287736,2515338.0,515213.5977294768
2012-03-31,Iztapalapa,CDMX,0.2048287736,2633934.6,539505.5938606067
2012-06-30,Iztapalapa,CDMX,0.2048287736,2438708.1,499517.5892913862
